P_ID,4_Condition,5_Condition,6_Condition,4_NTLX_1_1,4_NTLX_2_1,4_NTLX_3_1,4_NTLX_4_1,4_NTLX_5_1,4_NTLX_6_1,5_NTLX_1_1,5_NTLX_2_1,5_NTLX_3_1,5_NTLX_4_1,5_NTLX_5_1,5_NTLX_6_1,6_NTLX_1_1,6_NTLX_2_1,6_NTLX_3_1,6_NTLX_4_1,6_NTLX_5_1,6_NTLX_6_1,4_SART_1_1,4_SART_2_1,4_SART_3_1,4_SART_4_1,4_SART_5_1,4_SART_6_1,4_SART_7_1,4_SART_8_1,4_SART_9_1,4_SART_10_1,5_SART_1_1,5_SART_2_1,5_SART_3_1,5_SART_4_1,5_SART_5_1,5_SART_6_1,5_SART_7_1,5_SART_8_1,5_SART_9_1,5_SART_10_1,6_SART_1_1,6_SART_2_1,6_SART_3_1,6_SART_4_1,6_SART_5_1,6_SART_6_1,6_SART_7_1,6_SART_8_1,6_SART_9_1,6_SART_10_1
09_RT,A,B,C,66,21,15,8,77,13,51,11,28,4,52,6,80,17,33,65,60,28,1,5,1,6,2,3,3,5,5,2,1,4,3,6,5,5,3,6,6,2,3,5,3,5,5,4,1,5,5,3
10_OL,A,C,B,91,15,19,50,88,33,100,44,21,22,89,88,100,56,18,75,94,58,2,2,2,6,6,5,2,4,3,2,2,5,4,5,6,6,3,4,4,3,5,5,5,6,6,6,2,5,4,2
11_RT,A,B,C,77,10,50,51,29,50,82,25,69,45,59,73,84,32,72,37,74,66,2,1,1,3,3,3,3,4,6,4,5,4,6,4,3,3,3,5,4,6,4,4,4,4,6,5,3,5,5,6
12_OL,A,C,B,7,3,3,77,11,9,38,11,20,11,33,12,18,8,17,13,13,10,1,1,1,2,4,4,3,6,7,5,3,3,3,3,5,4,2,7,7,6,2,2,2,5,5,4,4,7,7,7
14_OL,A,C,B,28,26,0,0,2,0,75,29,1,51,35,33,51,14,4,75,45,1,3,2,1,5,7,7,7,7,6,7,3,4,3,3,4,5,5,6,4,4,1,1,1,6,7,7,7,6,6,6
15_RT,A,B,C,63,5,0,36,40,1,76,5,16,58,44,10,80,6,51,85,78,38,2,2,1,6,7,2,5,3,3,5,2,3,2,6,6,5,4,3,3,6,4,5,5,7,7,6,2,3,3,5
16_OL,A,C,B,63,10,8,17,62,17,86,20,0,39,70,22,27,5,4,22,15,6,2,2,1,6,7,5,4,2,4,1,2,2,1,6,7,6,2,4,2,3,1,3,4,2,5,4,2,5,5,6
17_RT,A,B,C,67,19,14,41,64,18,83,62,11,50,63,7,83,26,7,51,45,3,2,2,2,5,4,4,6,5,5,5,4,5,5,6,6,4,5,5,6,5,3,5,4,6,5,5,6,6,6,6
13_RT,A,B,C,74,18,10,25,86,11,93,6,66,47,74,14,74,8,54,36,63,11,2,3,3,5,5,3,2,5,5,2,2,4,3,6,3,2,2,5,4,2,2,2,3,5,4,4,2,5,4,2
18_OL,A,C,B,66,9,11,56,70,16,85,10,29,34,73,51,40,15,19,9,17,16,2,2,2,5,5,4,3,4,4,3,2,3,3,6,6,5,2,4,4,5,2,2,2,5,4,4,5,4,5,4
20_OL,A,C,B,97,6,1,88,2,32,98,6,67,35,72,42,59,15,62,98,55,2,1,1,2,2,6,6,6,2,6,6,3,3,2,4,6,4,4,4,5,6,2,3,2,5,7,6,5,5,6,5
21_RT,A,B,C,81,23,3,11,59,4,94,46,85,22,84,58,97,72,73,67,96,85,1,2,1,5,6,3,2,5,4,5,6,6,5,7,6,6,2,5,6,6,1,6,6,7,7,6,2,3,4,5
22_OL,A,C,B,41,10,30,57,51,2,64,23,46,72,66,4,51,16,24,74,50,3,5,3,3,6,6,6,6,6,7,2,3,3,2,6,6,6,6,6,7,5,2,3,3,6,6,6,6,1,6,5
19_RT,A,B,C,50,24,13,70,78,8,69,20,29,71,32,23,81,27,28,52,74,51,1,1,1,3,2,3,1,6,6,4,2,3,2,5,6,5,4,5,6,2,6,5,5,6,6,5,2,1,5,6
23_RT,A,B,C,67,19,42,24,67,8,82,22,38,33,86,41,94,19,23,40,84,52,2,4,3,5,5,4,4,5,6,4,3,5,5,6,6,6,5,5,6,2,4,5,4,6,6,6,4,5,5,2
24_OL,A,C,B,75,6,9,77,78,18,93,10,31,58,95,12,49,8,9,69,43,0,3,2,1,6,4,2,5,2,5,4,6,6,6,4,7,4,6,5,2,6,3,2,3,3,6,6,7,5,4,5
